Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_8_trace,211.10272789001465,Pass,287.259845495224,40000016,13811383,2.8962,2322129,347777,0.1681,0.0252,14.9766%,8.6944,7804649,22.4415,195.1161,20000016,7803343,2.5630,1347173,245561,0.1726,0.0315,18.2279%,12.2780,5438257,22.1463,271.9126
fp,fp_9_trace,143.53112411499023,Pass,304.7944235801697,40000016,18269934,2.1894,5012816,229565,0.2744,0.0126,4.5796%,5.7391,13622402,59.3401,340.5599,20000016,8838325,2.2629,2500178,123563,0.2829,0.0140,4.9422%,6.1781,6602901,53.4375,330.1448
int,int_0_trace,137.11144542694092,Pass,205.24611043930054,40000041,15159605,2.6386,6223265,222168,0.4105,0.0147,3.5700%,5.5542,10558852,47.5264,263.9710,20000041,6749451,2.9632,3076555,109473,0.4558,0.0162,3.5583%,5.4736,4553939,41.5987,227.6965
int,int_10_trace,204.85591316223145,Pass,350.51242542266846,60000052,9802161,6.1211,7032592,39388,0.7175,0.0040,0.5601%,0.6565,1018756,25.8646,16.9793,30000052,4549576,6.5940,3499163,19501,0.7691,0.0043,0.5573%,0.6500,434438,22.2777,14.4812
int,int_11_trace,203.19092559814453,Pass,333.4318082332611,60000052,17686024,3.3925,4130584,303962,0.2336,0.0172,7.3588%,5.0660,10382786,34.1582,173.0463,30000052,8884631,3.3766,2064453,154457,0.2324,0.0174,7.4817%,5.1486,5277582,34.1686,175.9191
int,int_12_trace,204.59925079345703,Pass,396.2367420196533,59999603,18608457,3.2243,6357220,34801,0.3416,0.0019,0.5474%,0.5800,1211845,34.8221,20.1976,30999603,5113943,6.0618,4522132,33207,0.8843,0.0065,0.7343%,1.0712,1115692,33.5981,35.9905
int,int_13_trace,32.30572509765625,Pass,204.13988637924194,40000052,6405031,6.2451,4243961,44567,0.6626,0.0070,1.0501%,1.1142,1263096,28.3415,31.5774,20000052,3130284,6.3892,2111572,20572,0.6746,0.0066,0.9743%,1.0286,601449,29.2363,30.0724
int,int_14_trace,177.29002475738525,Pass,228.18963360786438,39999640,7052510,5.6717,7635435,19063,1.0827,0.0027,0.2497%,0.4766,470898,24.7022,11.7726,20999640,3435102,6.1133,3974167,8707,1.1569,0.0025,0.2191%,0.4146,196308,22.5460,9.3482
int,int_15_trace,98.1560001373291,Pass,398.66359663009644,70000157,18556315,3.7723,9192864,36375,0.4954,0.0020,0.3957%,0.5196,1933148,53.1450,27.6163,35000157,9354303,3.7416,4669511,34545,0.4992,0.0037,0.7398%,0.9870,1546679,44.7729,44.1906
int,int_16_trace,128.2670030593872,Pass,232.2765281200409,40000031,19414790,2.0603,6733574,341750,0.3468,0.0176,5.0753%,8.5437,7731728,22.6239,193.2931,20000031,8278013,2.4160,3364149,170879,0.4064,0.0206,5.0794%,8.5439,3763257,22.0229,188.1626
int,int_17_trace,128.60758018493652,Pass,233.39939761161804,39999987,16995530,2.3536,6659971,270663,0.3919,0.0159,4.0640%,6.7666,6262368,23.1371,156.5593,20999987,6884261,3.0504,3432362,126777,0.4986,0.0184,3.6936%,6.0370,2838016,22.3859,135.1437
int,int_18_trace,108.31880569458008,Pass,278.2716245651245,39999864,12055767,3.3179,9457814,56588,0.7845,0.0047,0.5983%,1.4147,3239879,57.2538,80.9973,20999864,5825345,3.6049,4985263,28035,0.8558,0.0048,0.5624%,1.3350,1507520,53.7728,71.7871
int,int_19_trace,184.28955841064453,Pass,234.41352486610413,40000052,8381964,4.7722,5852871,47633,0.6983,0.0057,0.8138%,1.1908,1985620,41.6858,49.6404,20000052,3979697,5.0255,2929049,20192,0.7360,0.0051,0.6894%,1.0096,898613,44.5034,44.9305
int,int_1_trace,92.84952068328857,Pass,164.3385488986969,30000052,19658329,1.5261,5301134,387835,0.2697,0.0197,7.3161%,12.9278,15772818,40.6689,525.7597,15000052,9419321,1.5925,2642836,193585,0.2806,0.0206,7.3249%,12.9056,7500939,38.7475,500.0609
int,int_20_trace,187.00185585021973,Pass,345.48882818222046,60000051,17902356,3.3515,9561405,190091,0.5341,0.0106,1.9881%,3.1682,5912596,31.1040,98.5432,30000051,7491937,4.0043,4877083,92258,0.6510,0.0123,1.8917%,3.0753,2572564,27.8845,85.7520
int,int_21_trace,91.63193035125732,Pass,207.32420444488525,40000052,47901155,0.8351,9059172,1024934,0.1891,0.0214,11.3138%,25.6233,43124647,42.0755,1078.1148,20000052,23613240,0.8470,4504449,527092,0.1908,0.0223,11.7016%,26.3545,21193052,40.2075,1059.6498
int,int_22_trace,96.68442058563232,Pass,261.98426961898804,40000052,26778139,1.4938,6671960,299615,0.2492,0.0112,4.4907%,7.4904,19559388,65.2817,488.9841,20000052,13413294,1.4911,3314359,152890,0.2471,0.0114,4.6130%,7.6445,9840558,64.3636,492.0266
int,int_23_trace,182.35865116119385,Pass,232.91739583015442,40000052,19248295,2.0781,5329093,161889,0.2769,0.0084,3.0378%,4.0472,7548411,46.6271,188.7100,20000052,8961236,2.2318,2669216,78637,0.2979,0.0088,2.9461%,3.9318,3282417,41.7414,164.1204
int,int_24_trace,145.24023818969727,Pass,295.8421494960785,40000051,14705357,2.7201,8385203,28690,0.5702,0.0020,0.3422%,0.7172,2974574,103.6798,74.3643,20000051,7002391,2.8562,4599578,13047,0.6569,0.0019,0.2837%,0.6523,1373879,105.3023,68.6938
int,int_25_trace,169.04896354675293,Pass,226.74375462532043,40000052,7764955,5.1514,2766410,58868,0.3563,0.0076,2.1280%,1.4717,2127488,36.1400,53.1871,20000052,4311290,4.6390,1541724,50744,0.3576,0.0118,3.2914%,2.5372,1637524,32.2703,81.8760
int,int_26_trace,197.17267227172852,Pass,224.64214706420898,40000052,6974395,5.7353,2130479,63960,0.3055,0.0092,3.0021%,1.5990,2009517,31.4183,50.2379,20000052,3280716,6.0962,1067816,30065,0.3255,0.0092,2.8156%,1.5032,967325,32.1745,48.3661
int,int_27_trace,219.70562553405762,Pass,235.49287676811218,40000052,6467793,6.1845,1891315,42126,0.2924,0.0065,2.2273%,1.0531,1303229,30.9365,32.5807,20000052,3005426,6.6546,940632,18470,0.3130,0.0061,1.9636%,0.9235,591686,32.0350,29.5842
int,int_28_trace,185.9219560623169,Pass,194.83449697494507,40000052,8779999,4.5558,4006233,171477,0.4563,0.0195,4.2803%,4.2869,4128119,24.0739,103.2028,20000052,4271400,4.6823,1994428,81487,0.4669,0.0191,4.0857%,4.0743,1982016,24.3231,99.1005
int,int_29_trace,181.88746547698975,Pass,213.08889627456665,40000052,16994347,2.3537,4048870,559288,0.2382,0.0329,13.8134%,13.9822,13188653,23.5811,329.7159,20000052,8293777,2.4115,2031315,275602,0.2449,0.0332,13.5677%,13.7801,6424688,23.3115,321.2336
int,int_2_trace,94.08823490142822,Pass,162.1390700340271,30000052,19697246,1.5231,5366311,367199,0.2724,0.0186,6.8427%,12.2399,15776117,42.9634,525.8697,15000052,9265203,1.6190,2681980,182668,0.2895,0.0197,6.8109%,12.1778,7335703,40.1587,489.0452
